timestamp,person_A,person_B,group_A,group_B,time_seconds,time_minutes,time_hours
28820,492,938,SRH,DMCT,576400,9606.666666666666,160.11111111111111
28860,267,272,DSE,DSE,577200,9620.0,160.33333333333334
29300,181,826,DSE,DISQ,586000,9766.666666666666,162.77777777777777
29780,79,181,DSE,DSE,595600,9926.666666666666,165.44444444444446
30000,150,196,SRH,DSE,600000,10000.0,166.66666666666666
30020,21,150,DMCT,SRH,600400,10006.666666666666,166.77777777777777
30060,21,205,DMCT,DSE,601200,10020.0,167.0
30060,21,150,DMCT,SRH,601200,10020.0,167.0
30060,448,826,SRH,DISQ,601200,10020.0,167.0
30060,765,826,DSE,DISQ,601200,10020.0,167.0
30280,39,253,DSE,DISQ,605600,10093.333333333334,168.22222222222223
30280,80,253,DMCT,DISQ,605600,10093.333333333334,168.22222222222223
30360,123,845,DSE,DISQ,607200,10120.0,168.66666666666666
30380,118,311,DMCT,DSE,607600,10126.666666666666,168.77777777777777
30380,95,118,DSE,DMCT,607600,10126.666666666666,168.77777777777777
30380,80,95,DMCT,DSE,607600,10126.666666666666,168.77777777777777
30380,123,845,DSE,DISQ,607600,10126.666666666666,168.77777777777777
30380,95,311,DSE,DSE,607600,10126.666666666666,168.77777777777777
30400,118,311,DMCT,DSE,608000,10133.333333333334,168.88888888888889
30400,80,118,DMCT,DMCT,608000,10133.333333333334,168.88888888888889
30400,95,118,DSE,DMCT,608000,10133.333333333334,168.88888888888889
30400,123,845,DSE,DISQ,608000,10133.333333333334,168.88888888888889
30400,95,311,DSE,DSE,608000,10133.333333333334,168.88888888888889
30420,118,311,DMCT,DSE,608400,10140.0,169.0
30420,95,118,DSE,DMCT,608400,10140.0,169.0
30420,95,311,DSE,DSE,608400,10140.0,169.0
30420,123,845,DSE,DISQ,608400,10140.0,169.0
30440,118,311,DMCT,DSE,608800,10146.666666666666,169.11111111111111
30440,118,771,DMCT,DMCT,608800,10146.666666666666,169.11111111111111
30440,95,771,DSE,DMCT,608800,10146.666666666666,169.11111111111111
